번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
233,니로ev 에너지사용정보에 배터리관리 0% 나오는데,유비니l니로l경북,2026.01.28. 09:32,조회 24,gusejr3607,준회원
234,지자체마다 보조지원금이 상이하나요?,장난꾸러ㄱl,2026.01.28. 09:30,조회 83,cjk950428,신입
235,"용인시,....많이 줄었네요....",오니기리빅줴I용인,2026.01.28. 09:30,조회 138,jjunii84,준회원
236,아침부터 너무 화가나네요,라세느I김포,2026.01.28. 09:28,조회 772,ljy6685,준회원
237,전기차 구매하려는데,니늬니늬이,2026.01.28. 09:28,조회 28,su00511,신입
238,전기차 구매하고 나신 후 구매 전 예상치 못했던 부분들 어떤 것들이 있으시나요?,장난꾸러ㄱl,2026.01.28. 09:25,조회 101,cjk950428,신입
239,"화성시 전기차 보조금, 2월 말 출고해도 받을 수 있을까요?",나도 전기차I화성I,2026.01.28. 09:19,조회 51,kyb2148,신입
240,지금 보조금 신청 하셨습니까? 신청되면 따로 연락 오나용?,혼남II경북,2026.01.28. 09:14,조회 162,cbi008,신입
241,가입인사,죽전원산,2026.01.28. 09:14,조회 2,nmpshim,신입
242,1월 28일 주요신문 헤드라인 및 오늘의 운세,오프미I레이evI군산,2026.01.28. 09:13,조회 23,kshzag1,준회원
243,"부산시, 상반기 전기차 5천23대 보조금 지원...청년 구매시, 200만원 추가 지원",해I모y아5I서울,2026.01.28. 09:13,조회 187,hwajakim2,준회원
244,즐거운아침~~,사남매l구오닉l경기,2026.01.28. 09:11,조회 3,jim1986,신입
245,아이오니5n관심,럭셜후니l서울강서,2026.01.28. 09:11,조회 8,sena292513,신입
246,"서울시 전기차 2만2526대 보급…내연기관차 처분 시 최대 130만원, 전기승용차 최대 754만 원",해I모y아5I서울,2026.01.28. 09:08,조회 94,hwajakim2,준회원
247,gv60 ??,희망스,2026.01.28. 09:07,조회 134,jjasmine04,신입
248,좋은 아침 수요일입니다~,꼼니짱I캐스퍼EVI경기,2026.01.28. 09:06,조회 4,kjn730718,준회원
249,"테슬라 모델y RWD, AWD",김마로,2026.01.28. 09:05,조회 77,maro1123,준회원
250,현기 전기차는 절대 출시가를 낮출리 없겠죠?,문젯거리,2026.01.28. 09:01,조회 366,jamekn,준회원
251,전기차 보조금,김마로,2026.01.28. 08:59,조회 36,maro1123,준회원
252,일렉링크 언제 이렇게 올랐나요,그민리I아오5I화성,2026.01.28. 08:58,조회 86,yeosoo1484,준회원
253,전기차 사도 괜찮을까요?,트러스I서울,2026.01.28. 08:51,조회 164,beast30854,준회원
254,아이오닉9... 사는 게 맞겠쥬,아구몬I성남,2026.01.28. 08:50,조회 318,jeon3781,준회원
255,보조금 보는 방법,언제나맑음I울산,2026.01.28. 08:49,조회 35,foryoulove86,준회원
256,타지역 보조금으로 차량신청 가능한가요?,김포전린이I경기,2026.01.28. 08:47,조회 408,ssk5867,준회원
257,재고차 원하지 않을 경우,쏘쏘망고,2026.01.28. 08:46,조회 196,jinh2284,신입
258,전북은 보조금 도대체 언제 잡아주려나요?,라일l전주,2026.01.28. 08:39,조회 193,mkj71855,신입
259,BMW ix 언제쯤 받을수 있을까요,펑키83,2026.01.28. 08:39,조회 46,qudgur8693,신입
260,생애최초 전환지원금 문의요,배우는자세I경기,2026.01.28. 08:36,조회 75,yeo5043,준회원
261,테슬라 블랙박스는 필수일까요??,배우는자세I경기,2026.01.28. 08:34,조회 144,yeo5043,준회원
262,보조금 관련 문의드려요,배우는자세I경기,2026.01.28. 08:34,조회 25,yeo5043,준회원
263,Gv60 구매,하얀풍선2,2026.01.28. 08:31,조회 60,32msm,신입
264,테슬라 공동명의 문의드립니다!,안전하자하자,2026.01.28. 08:31,조회 24,fv98377,신입
265,전환 지원금 받아보신 분,전기차I구매예정I전남,2026.01.28. 08:26,조회 118,dhjjang21c,준회원
266,차문이 잠겼어요,정전I아이오닉l대전,2026.01.28. 08:18,조회 143,jcbs3,준회원
267,구매시 대표자 명의 관련 궁금한게 있어요,레노버I대구,2026.01.28. 08:15,조회 73,gmltjs9686,준회원
268,생애첫차...,LlMo,2026.01.28. 08:03,조회 64,wjdgotnr123,신입
269,EV4 차주분들 보험료 궁금합니다.,전주노사뷰,2026.01.28. 08:03,조회 253,bookzzang012,신입
270,EV4 VS EV5 미치겠네용,하얀늑대I대구,2026.01.28. 08:02,조회 626,prettysd,신입
271,경주시 보조금 공시,득댕I모델YI경주,2026.01.28. 07:52,조회 170,yhd620,신입
272,EV3 vs 셀토스HEV,깡통찬야옹이,2026.01.28. 07:49,조회 365,ath4269,준회원
273,좋은아침입니다.,아자아자I서울,2026.01.28. 07:38,조회 24,sjm4789,신입
274,이거 운행해도되나요?회사까자요,전차lev6l수원,2026.01.28. 07:22,조회 470,ghtpakfldk2,준회원
275,EV4 GT 라인 하이그로시 PPF 시공?,레키EV4김포,2026.01.28. 07:17,조회 83,joyken,준회원
276,한달1200키로 충전비용,미누미누미눙,2026.01.28. 07:14,조회 446,탈퇴한 멤버,
277,안녕하세요 이거뭔가요?ㅠ,전차lev6l수원,2026.01.28. 07:12,조회 244,ghtpakfldk2,준회원
278,고수님들 조언점구합니다.,은구IEV5계약중I부산,2026.01.28. 07:04,조회 64,after0428,신입
279,대전세종지역,호홍러브세종,2026.01.28. 06:53,조회 99,csh1981,신입
280,"ev4 아이페달, 오토회생제동 질문입니다.",전주노사뷰,2026.01.28. 06:44,조회 150,bookzzang012,신입
281,차는나올기미가안보이는데ㅜㅜ,백두산불곰lEV6l인천,2026.01.28. 06:43,조회 241,hyunho1834,준회원
282,ev4 vs 아이오닉6,나동I강원,2026.01.28. 06:22,조회 156,dongwun86,준회원
283,내연기관 및 전기차 영맨 서비스,꼬꼬달I대구,2026.01.28. 06:22,조회 140,dal3356,준회원
284,경기도 공단 재직자 보조금,서산ll게민,2026.01.28. 05:53,조회 141,skykmkbobo,준회원
285,26년이 전기차 사기 가장 적합하다해서..,새싹l부산,2026.01.28. 05:52,조회 479,bioape0107,준회원
286,Ev5 ev6 도 고민되네요ㅠ,새싹l부산,2026.01.28. 05:50,조회 137,bioape0107,준회원
287,ev6 견적 머리 깨지네요 ㅎㅎ,조르니l서울lEV6고민,2026.01.28. 05:46,조회 252,day0829,신입
288,전기차 집밥 충전기 설치? 콘센트?,콜라I전주,2026.01.28. 04:38,조회 93,kkn628,준회원
289,보조금 신청하면 보조금 대상자선정 얼마나걸리나요?,당근l대전I아이오닉5,2026.01.28. 04:34,조회 360,whangus17,신입
290,올해는 전기차 사라고 정부에서 떠들더니,1프로만I레이I동탄,2026.01.28. 04:09,조회 373,suand777,신입
291,테슬라흰색시트이신분?,전기차로감I전주,2026.01.28. 03:10,조회 49,ehdvkfl033,준회원
292,옵션계약 변경,혜성71I충남,2026.01.28. 02:56,조회 61,jindo0317,준회원
293,EV4 제일 짜치는 것,금빛동전I아5EV4I대구,2026.01.28. 02:38,조회 549,10woncoin,정회원
294,전기 단가,경기l비엠아우디,2026.01.28. 02:20,조회 216,sovereignty,준회원
295,EV3 비젠티엄 TPE카매트 샀어요,응애토끼IEV3I인천,2026.01.28. 01:09,조회 144,ungae,신입
296,아이오닉5 ev6 선택장애,테디I레이evI서산,2026.01.28. 01:06,조회 211,hotbahhm,준회원
297,출고 검수 어떻게 해야할까요 충남 공주입니다,웅진동I충남,2026.01.28. 01:03,조회 98,sandongne,준회원
298,테슬라 모델3 배터리교체한 중고 어떨까요?,꽃망울I아이오닉I화순,2026.01.28. 00:45,조회 200,kst1591111,준회원
299,중고 전기차량 키수로 년식?,짱희명 경기,2026.01.28. 00:29,조회 74,pred00,준회원
300,EV5 오너분 계실까요?,우산어디갔지I청주,2026.01.28. 00:07,조회 335,manydogs,신입
301,제주에도 지원금이 다나오나요??,잘생미l제주,2026.01.27. 23:56,조회 60,eodh32,준회원
302,ev5 트림!,잘생미l제주,2026.01.27. 23:54,조회 180,eodh32,준회원
303,김해공항 문콕 과연…,어사유한l아9l대구,2026.01.27. 23:53,조회 183,activity21c,준회원
304,ev3 가성비?,까대기ll인천,2026.01.27. 23:46,조회 277,nsw0407,준회원
305,혹시 문콕으로 인한 100원크기 덴트시세가어떤가요?,허브소년ll경기,2026.01.27. 23:46,조회 52,lsyherb,준회원
306,한시간 텀으로 아이오닉9 EV9 시승하고 왔습니다,오메가l충북,2026.01.27. 23:45,조회 649,omegalove012,신입
307,아이오닉9 6인승 7인승,우니 성동,2026.01.27. 23:45,조회 126,painkiller93,신입
308,엔비디아 자율주행 영상. 앞으로의 승자는?,새빛l코나l경기,2026.01.27. 23:45,조회 118,hyunpida,준회원
309,테슬라궁금해요,큐로롱,2026.01.27. 23:42,조회 70,starberry84,신입
310,아파트 일반주차자리도 모자른데..,허브소년ll경기,2026.01.27. 23:41,조회 325,lsyherb,준회원
311,아직 보조금승인나신분없나요?,띠로룡lev4l남양,2026.01.27. 23:40,조회 104,sd585,준회원
312,뒷북일수잇겠지만 의정부에도byd매장이 생겻네요.,허브소년ll경기,2026.01.27. 23:34,조회 73,lsyherb,준회원
313,EV3 대 EV5 어떤걸 구매하면 좋을까요??,잘생미l제주,2026.01.27. 23:32,조회 360,eodh32,준회원
314,틴팅종류,큐로롱,2026.01.27. 23:26,조회 50,,신입
315,아이오닉5 구매하려는데,광주S갑부,2026.01.27. 23:16,조회 149,honestpjh,준회원
316,20년식 카이엔쿠페하브인데.. 카이엔ev로 변경해야할 이유가잇을까요?,허브소년ll경기,2026.01.27. 23:15,조회 38,lsyherb,준회원
317,대리점은 어디나 서비스 다 비슷한거죠 ?,우주문방구IEV5I경기,2026.01.27. 23:02,조회 179,wouldbe2010,신입
318,주말에 볼보EX30 이랑 테슬라 시승하러가볼려하는데,먼지집사I경기,2026.01.27. 22:53,조회 75,o0o3ov,신입
319,[아이오닉9 2026 올해의 차 수상 축하] 여기서 육아하고 싶네요..,금송아지l볼트l경기,2026.01.27. 22:52,조회 232,tnals3312,준회원
320,전시차 잡아준다더니 다시 재고차 잡아보겠다는 딜러님,차행I경남,2026.01.27. 22:51,조회 724,lnixal,준회원
321,ev3 방향제 질문,이브익I경기,2026.01.27. 22:49,조회 65,sya4529,준회원
322,틴팅 시,이브익I경기,2026.01.27. 22:48,조회 36,sya4529,준회원
323,테슬라 모델3 롱레인지 구매하려면 보조금 얼마 예상될까요? 경남 양산시,드뎌삿다,2026.01.27. 22:46,조회 131,ssd0904,준회원
324,eqb 냉각수 이슈 문의드립니다.,청년버디I평택,2026.01.27. 22:44,조회 24,jechulm,신입
325,ev6 iccu 터짐,온치빠lev6l송파,2026.01.27. 22:43,조회 331,kwonwim,준회원
326,폴스타4 국내에서 잘 팔리나요?,ycfyfuㅣ경기,2026.01.27. 22:42,조회 305,cjinh12,신입
327,6개월된 신축아파트 충전기를 국비지원으로 교체?,비마타이거I아9l동탄,2026.01.27. 22:40,조회 201,hellranger,준회원
328,2026 광주 보조금,광주EV3원숭이,2026.01.27. 22:33,조회 199,kch0531,준회원
329,헤이딜러 제로 차량판매 질문,베테랑IEV4I청주,2026.01.27. 22:33,조회 375,hbj9769,신입
330,Ev5 시승이나 출고하신 후기,제이우I전북,2026.01.27. 22:31,조회 286,hcmin0417,신입
331,"니로,쏘울부스터,아이오닉5 영업용 셋중 하나?",니로쏘울좋아I경기,2026.01.27. 22:23,조회 54,jihyuntkfkd0,신입
332,[아이오닉9 2026 올해의 차 수상 축하] 아이오닉9 강점 적어보았습니다 !!^^,은똥I아이오닉I경기,2026.01.27. 22:22,조회 218,foreverjune2,준회원
333,포터ev 출고대기중 딜러 연락왔네요~,쿠기I타이칸4SI경북,2026.01.27. 22:20,조회 115,nswook1471,신입
334,전기차 구매 고민..,흥흥I오산,2026.01.27. 22:16,조회 89,player1u,신입
335,보조금 또받을수 있나요? 작년에 장기렌탈.,슈가Iev6I부산,2026.01.27. 22:12,조회 153,sonsonson80,정회원
336,하루주행 300km,타이Iev6I경기,2026.01.27. 22:05,조회 183,eotjr1,신입
337,"괴산군, 2026년 상반기 전기차 구매보조금 140대 지원",해I모y아5I서울,2026.01.27. 21:59,조회 163,hwajakim2,준회원
338,충전요금 얼마인가요?,션빠 ev5 경기,2026.01.27. 21:53,조회 180,jo4105101,신입
339,안양시보조금,안양l,2026.01.27. 21:53,조회 89,good6144,신입
340,“자다가 차 빼라고요?”…전기차 갈등 또 불거지나,해I모y아5I서울,2026.01.27. 21:49,"조회 2,775",hwajakim2,준회원
341,코나 계약했는데 EV5고민중.,한글이맘,2026.01.27. 21:47,조회 152,cmj1004i,신입
342,GV60도 ICCU 리콜 있네요.,불길훈IGV60아5I부산,2026.01.27. 21:45,조회 219,sonworld,정회원
343,생각하시는 최고의 SUV전기차는??? 추천 부탁드려요~~,미니심슨I대구,2026.01.27. 21:42,"조회 1,448",panmankim,신입
344,"음성군, 올해 상반기 전기차 302대 구매 지원한다",해I모y아5I서울,2026.01.27. 21:39,조회 97,hwajakim2,준회원
345,기아 디지털키2 많이들 쓰시나요?,국제결혼도전II광주,2026.01.27. 21:26,조회 327,outspoken6,신입
346,경남 진주 바로 밑동네 인데요,Ev3l경남 스펙트,2026.01.27. 21:21,조회 210,csg3525,준회원
347,제주에서 기아 EV4 구매할려고 하는데요,yjju,2026.01.27. 21:21,조회 120,decokim,준회원
348,아이오닉5랑 주니퍼 Y 하..,찌종I청주,2026.01.27. 21:21,조회 240,lwg721,준회원
349,테슬라 틴팅 ppf,경북I전기차,2026.01.27. 21:20,조회 43,santorini30,신입
350,ev3 gt라인 센터에 페브릭이 있었네요 이런,경기ㅣ마그마,2026.01.27. 21:19,조회 209,lhn51751,준회원
351,id4 2025년식 vs 2026년식,또롱I전기차I대전,2026.01.27. 21:12,조회 204,ksywyddos,준회원
352,Ev6 지금 할인많이 하나요!?,새싹l부산,2026.01.27. 21:06,조회 119,bioape0107,준회원
353,ev5 생애첫차 계약했어요.,해피어해Iev5I충북,2026.01.27. 21:04,조회 171,kmsgu2001,신입
354,벤츠eqa 타는냄새,eqa오너,2026.01.27. 21:02,조회 125,song99960,신입
355,26년 변경?,이스타lEV4l충주,2026.01.27. 21:00,조회 135,dlrkd0614,준회원
356,라식수술비용 고민하신분 질문있어요!,진백,2026.01.27. 21:00,조회 20,shker44500,신입
357,모델Y 씨라이언7 너무고민됩니다,새싹l부산,2026.01.27. 20:59,조회 349,bioape0107,준회원
358,생애최초 전기차 구매,인천llunsilent,2026.01.27. 20:57,조회 96,kominsoo0110,신입
359,전기차 공동명의 문의,두쫀쿠I울산,2026.01.27. 20:53,조회 148,zldnjrk2,신입
360,고민고민하다 모델3 롱레로결정,전기차로감I전주,2026.01.27. 20:52,조회 129,ehdvkfl033,준회원
361,테슬라 Y 오토파일럿요,소마 EV3 충남,2026.01.27. 20:52,조회 90,soma0707,준회원
362,테슬라 YL 리뷰와 승차감이 궁금하신분들에게,여우비오는날,2026.01.27. 20:50,조회 294,fly6259,준회원
363,전면 30 측면 30 으로 틴팅하시는분은 없나요?,산내I코나I동탄,2026.01.27. 20:50,조회 138,thdehdtjq123,준회원
364,구축 아파트에 살고있는 예비 전기차 오너 입니다. 충전구역 관련 질문 있읍니다.,헤헤히히힝,2026.01.27. 20:48,조회 99,junghwanleee,신입
365,테슬라yl 기다리는분들 많네요,두쫀쿠I울산,2026.01.27. 20:46,조회 250,zldnjrk2,신입
366,아산 보조금,아산ll찐,2026.01.27. 20:44,조회 144,gdwtfg,신입
367,스마일프로가격 궁금해요ㅠㅠ,사르가,2026.01.27. 20:43,조회 47,llwether74392,신입
368,스타리아EV 언제쯤 출시될까요?,전기차ll안산,2026.01.27. 20:42,조회 45,jheh2014,준회원
369,아9 탈만한가요.,전기차ll안산,2026.01.27. 20:40,조회 157,jheh2014,준회원
370,카와우 채널 보다가 충격적인 영국의 전기차 충전비용,리더맨I경기,2026.01.27. 20:37,조회 305,leesfam88,준회원
371,날씨가 춥네요 건강유의하세요,럭셜후니l서울강서,2026.01.27. 20:32,조회 2,sena292513,신입
372,테슬라 모델 Y L 언제쯤 출시될까여,전기차ll안산,2026.01.27. 20:31,조회 39,jheh2014,준회원
373,전환지원금 출고 기준인가요? 보유 기준인가요?,쓰룹쓰룹I대구,2026.01.27. 20:30,조회 157,wild1849,신입
374,[아이오닉9 2026 올해의 차 수상 축하] 수상 축하합니다,수IeGV70I경기,2026.01.27. 20:18,조회 82,kenshinrx,정회원
375,중국시장 테슬라 FSD 무료배포(1개월),IM I LS6 I 해외,2026.01.27. 20:18,조회 454,kdblifefc,우수회원
376,급속 풀충 100프로 매일 두어번 한다는 아오5 택시기사님,크레타I아오6I경기,2026.01.27. 20:17,조회 394,firstspeed,신입
377,등업좀 부탁드립니다..카페 매니저님..,영원히I아이오6I대구,2026.01.27. 20:14,조회 58,mt0513,준회원
378,부산 카마스터,큐짱lEV3I부산,2026.01.27. 20:13,조회 28,konmul2000,준회원
379,행복주택 차량가액에 대한 질문!,양성경기광주,2026.01.27. 20:11,조회 126,kin5003,신입
380,차량구매 카마스터!,양성경기광주,2026.01.27. 20:06,조회 64,kin5003,신입
381,테슬라 구매하셨던분 질문드려요!!!!,짱구210,2026.01.27. 20:05,조회 150,monkey6051704,준회원
382,전기차 구매 시 유지비 체감,양성경기광주,2026.01.27. 20:02,조회 327,kin5003,신입
383,진주시 보조금....,제이맨II진주,2026.01.27. 20:02,조회 151,rupyrupy29,신입
384,[아이오닉9 2026 올해의 차 수상 축하] 올 해의 상 받은 것을 축하합니다~~,만두I대구,2026.01.27. 20:00,조회 37,chunja0517,준회원
385,충전자리문제,다미lid4l의정부,2026.01.27. 20:00,조회 46,wlgnsdl11042,신입
386,내연차량(경차) 전환지원금?,스대박I부산,2026.01.27. 19:55,조회 163,us246,신입
387,에라이 맘에드는게 없는 창원시,유봉이I볼트EUVl창원,2026.01.27. 19:53,조회 123,didtlfwh,정회원
388,재고차량 구매 어떤가요?,초이I아이오닉9I인천,2026.01.27. 19:51,조회 238,jirul5,준회원
389,eG80 후륜조향 필수인가요?,구름llBMWi5M60ll구미,2026.01.27. 19:51,조회 93,jip7515,준회원
390,Ev3 구매예정입니다 딜러 소개 가능 할까요,쭈워니네,2026.01.27. 19:49,조회 35,ckdghid,신입
391,"EV4,EV6 고민!",양성90,2026.01.27. 19:46,조회 159,kin5003,신입
392,전기차 갈등이네요...,쭈우린,2026.01.27. 19:44,조회 245,webscs,신입
393,Ev4 후측방 모니터 고장인가요…?,세쥬르IEV4I경기,2026.01.27. 19:44,조회 147,semia600,신입
394,모델3퍼포먼스 보조금 설문조사 받았습니다.,잘잘I코나I충북,2026.01.27. 19:38,조회 181,phjjek,준회원
395,아이오닉9 아쉬운점,다다I광명,2026.01.27. 19:37,조회 241,aniphile,신입
396,맨날 iccu 터지는 글만 보이는데 혹시 안터지신분?,모와아구I주니퍼,2026.01.27. 19:36,조회 315,g9_,준회원
397,동생 사줄차 Ev4 시승 및 Ev5 전시차 보고 옴,파인드Ii5I서울,2026.01.27. 19:33,"조회 1,405",ffminjong,준회원
398,파주 자격부여 나오신분 계신가요?,GKDPl아이오닉5l파주,2026.01.27. 19:32,조회 131,lpd3637,신입
399,초보 렌트승계 인수,종구I코나l경기,2026.01.27. 19:22,조회 39,whdgnjs,준회원
400,[아이오닉9 2026 올해의 차 수상 축하] 아이오닉9의 독보적인 가치를 증명했네요!,세로롱I폴스타4I세종,2026.01.27. 19:08,조회 66,eyebrowsman,준회원
401,vk vs 1100,만두I대구,2026.01.27. 19:05,조회 113,chunja0517,준회원
402,EV3 아이페달3쓰는데 연비가 진짜...,돌로레스님I대전,2026.01.27. 18:57,조회 457,alanis7,준회원
403,광주광역시는 1월 30일부터 접수 시작이네요,프레시IEV3I광주,2026.01.27. 18:53,조회 220,bhs7849,준회원
404,마음이 EV6GT (중고차)로 향하고있어요. 아5아6 ev5,나뭇I아5I김포,2026.01.27. 18:46,조회 150,martenis_in,준회원
405,EV3 옵션 ...,중사l아이오닉l포항,2026.01.27. 18:44,조회 200,wlsdn6398,정회원
406,카링킷프로,욜로I볼트evI원주,2026.01.27. 18:40,조회 81,lum122,준회원
407,겨울철 스노우타이어,욜로I볼트evI원주,2026.01.27. 18:36,조회 68,lum122,준회원
408,전기차 보조금 확정후에 취소하면 불이익 있을까요?,삐삐I아직I청주,2026.01.27. 18:34,조회 459,sangohho,준회원
409,점검을 받아보려고 하는데요.,심플굿I아5I대구,2026.01.27. 18:32,조회 19,hyperki,준회원
410,보험갱신기간인데 보험료가 170만원 나오네여,골웨이I아오5I인천,2026.01.27. 18:31,"조회 1,252",gjdnlwjdqh,준회원
411,앞면 충전단자가 있는경우...연장커넥터는 필수인건가요?,훅기사l대구,2026.01.27. 18:28,조회 57,hey25s,준회원
412,세컨카로 ev6 고민,천마llev6ll충북,2026.01.27. 18:26,조회 96,sjs2416,준회원
413,전기차,가아아나,2026.01.27. 18:24,조회 40,2dbsrn,준회원
414,볼보 EX60,진욱I안산,2026.01.27. 18:23,조회 158,mambmc920,신입
415,보조금은 몇월쯤이면 소진되나요?,전북I호떡이아빠,2026.01.27. 18:21,조회 355,hbj1345,신입
416,기아 공홈에 아직 가격 인하 반영 안 된 거죠?,차둘이I서산,2026.01.27. 18:17,조회 176,rudgudrn,준회원
417,전기차 계약고민,천마표,2026.01.27. 18:17,조회 90,sjs2416,준회원
418,gv60 구매,알레I코나I대구,2026.01.27. 18:15,조회 105,ldj0049,신입
419,이 가격이 맞나요?,짱I모델yl청주,2026.01.27. 18:15,조회 214,hwangp75,준회원
420,전기차 충전카드 추천,제천QM로라,2026.01.27. 18:15,조회 81,l249915,신입
421,아이오닉5 235 55 19 타이어 추천하시는게 있나요?,요붐I아5I서울,2026.01.27. 18:14,조회 60,yoboom87,준회원
422,빵꾸 의심될 땐 셀프로 타이어 공기압 넣지 않으시는게 좋을거같네요,요붐I아5I서울,2026.01.27. 18:09,조회 144,yoboom87,준회원
423,경기도 시흥 보조금 떴나요?,가을하늘li5I경기,2026.01.27. 18:06,조회 87,kws0327,준회원
424,스타리아 캠퍼,니킥,2026.01.27. 18:05,조회 47,ahncool2007,준회원
425,중고전기차 고속도로.하이패스등록??,대전ll하늘아래,2026.01.27. 18:00,조회 139,elfsky123,신입
426,어제 서울 보조금 신청하신분들,아이온lEV4l서울,2026.01.27. 17:56,조회 318,sayden,준회원
427,코나 일렉트릭 주행거리 얼마나 갈까요?,콩콩이I예정I화성,2026.01.27. 17:52,조회 94,ji45888,준회원
428,셀토스 가격은 선넘긴했지만 과연 판매량은 어찌될까요?,최강한화I아9I대전,2026.01.27. 17:50,조회 364,hyeasung1988,준회원
429,틴팅 반사필름 요즘은 많이안하시나요.??,화이트홀7ll경기,2026.01.27. 17:49,조회 124,whitehall7,신입
430,올해 환친차 조건으로...,꼬북이IEQA미니I서울,2026.01.27. 17:48,조회 87,zephyrjin,준회원
431,가볍게 구경 갔다가 계약했네요.,희나아빠IEV3I여주,2026.01.27. 17:47,조회 196,sama31,준회원
432,드뎌 당진도 가격이 떴네요,미녀기IEV4I당진,2026.01.27. 17:46,조회 981,hyuk3829,준회원
433,충전 할인 카드 추천 해주세요,호홍l부산,2026.01.27. 17:44,조회 127,ghdwodl41,준회원
434,테슬라 모델3 스탠 뒷자석 궁금점,짐승같은달I진주I,2026.01.27. 17:43,조회 147,dragonjow,신입
435,국고 보조금은 모델이 정해져있는건가요?,전북I호떡이아빠,2026.01.27. 17:40,조회 95,hbj1345,신입
436,대전 드디어 보조금 떴네요,대전ll루멘,2026.01.27. 17:39,조회 401,spinl1225,준회원
437,진주시 전기차 보조금 317만원 삭감;;,몬다인Igv70I경남,2026.01.27. 17:39,조회 263,wowns1226,준회원
438,충전 할인카드는?,킹재l대구,2026.01.27. 17:37,조회 70,tjdrlwo1002,준회원
439,곡성 벌써 출고되었네요,럭키I아5이6I충북,2026.01.27. 17:37,조회 217,prettysj0114,신입
440,"뭔가 생애최초전기차, 내연기관에서 전환 지원금 준다해놓고...",우와겨울이I광주,2026.01.27. 17:36,조회 207,chywo,준회원
441,이 카드는 현존하는 최상의카드라고 생각합니다.,라바I코나I인천,2026.01.27. 17:32,"조회 2,387",,준회원
442,ev6 승차감 어떤가요,롤란드ll모델3,2026.01.27. 17:30,조회 190,ne_yo91,준회원
443,재고차문의,지뇽l모델Yl제주,2026.01.27. 17:29,조회 115,wlstkak745,준회원
444,재고차,정보공유해주샛요,2026.01.27. 17:28,조회 308,mahappy23,신입
445,kia Members 전기차 신용카드 사용,낭중지추l군산,2026.01.27. 17:28,조회 110,santana94,준회원
446,"유틸리티 모드,키고 히터 틀면 위잉 위잉 소리 나는데 정상인가용",수방사사,2026.01.27. 17:27,조회 61,dudwns9857,신입
447,ev5,가아아나,2026.01.27. 17:24,조회 121,2dbsrn,준회원
448,대구 빼고 광역시는 다 나왔네요...ㅋㅋㅋㅋㅋ,용종이I대구,2026.01.27. 17:24,조회 271,mortaldoom,준회원
449,지자체 보조금 소진시,이어부스l인천l,2026.01.27. 17:21,조회 198,earbooth,준회원
450,기아 유예할부 이벤트 관련하여 문의드립니다~,화성인I경기,2026.01.27. 17:20,조회 327,ra_vn,준회원
451,남원시 보조금,가아아나,2026.01.27. 17:19,조회 45,2dbsrn,준회원
452,심각하게 씨라이언7 고민되네요,한부장I아5I아산,2026.01.27. 17:19,조회 328,gksengh1,준회원
453,용인시는 일을 안하는건지.....,오니기리빅줴I용인,2026.01.27. 17:16,조회 116,jjunii84,준회원
454,테슬라 vs 현기,롤란드ll모델3,2026.01.27. 17:15,조회 273,ne_yo91,준회원
455,인천 테슬라 인도 문자 시작 인가 보네여~~,포댕아빠,2026.01.27. 17:14,조회 105,eve1tym,준회원
456,혹시나 재고차 기대했지만,슈퍼소닉Iev6I청주,2026.01.27. 17:13,조회 351,chk8324,신입
457,저만 그런가요?,깁흔가람I제주,2026.01.27. 17:10,조회 20,yfujj12,준회원
458,아파트 충전 요금 공유 해주세요,만두I대구,2026.01.27. 17:08,조회 91,chunja0517,준회원
459,광주 보조금 떴는데 많이 까였네요,비에이I아이오닉5I광,2026.01.27. 17:07,조회 287,znf3850,준회원
460,대구 보조금,만두I대구,2026.01.27. 17:04,조회 139,chunja0517,준회원
461,ev9 중고 보고 있는데 진짜 비싸네요.ㅠ,완전개차반I경남,2026.01.27. 17:01,조회 336,inchang_lee,준회원
462,전북은 보조금 현황이 아직 안나온걸까요~?,전북I호떡이아빠,2026.01.27. 17:01,조회 34,hbj1345,신입
463,충남...전북..왜 이럴까요?,빛과달IEV4I대전,2026.01.27. 16:58,조회 245,kissing41,준회원
464,워크인 장착해놨습니다...,폭풍I쏘부EvI용인,2026.01.27. 16:56,조회 111,sexylotto,준회원
465,계기판 꺼진다는 글을 여러번 봤는데요 미국리콜하네요,경남lev6l기꾼,2026.01.27. 16:55,조회 120,lyc303,준회원
466,대전 폭망!!,돌돌이아빠II대전,2026.01.27. 16:54,조회 285,jbjent,준회원
467,지자체 보조금이 0원 인곳도 있네요?,러블리영I예비I강원,2026.01.27. 16:54,조회 273,hyyun08,준회원
468,틴팅 브랜드 스티커,나무나무ll,2026.01.27. 16:54,조회 78,jin841225,준회원
469,용인시 보조금 나왔는지 궁금하네요~,예은솔파파 I 경기,2026.01.27. 16:53,조회 63,eslovees84,신입
470,전기차 충전 요금(완속..),폭풍I쏘부EvI용인,2026.01.27. 16:53,조회 147,,준회원
471,충전 스트레스 고민,레인샤인,2026.01.27. 16:52,조회 76,atompunch,신입
472,오늘 pv5 보고왔습니다.,예은솔파파 I 경기,2026.01.27. 16:52,조회 67,eslovees84,신입
473,보조금,푸푸맘Iev6I서울,2026.01.27. 16:52,조회 26,jmki9,신입
474,세이프6 보증..,폭풍I쏘부EvI용인,2026.01.27. 16:46,조회 17,sexylotto,준회원
